# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
yi ku 	衣褲	c=1 d=2.50742e-14 t=255488
yi kuai 	一塊	c=5 d=2.98959e-32 t=255488
yi kuai bao 	易快報	c=16 d=1.83189e-42 t=255488
yi kuai bing 	一塊餅	c=1 d=3.00458e-31 t=255488
yi kuan 	一款	c=1 d=6.07239e-191 t=255488
yi la ke 	伊拉克	c=1 d=8.28154e-253 t=255488
yi lai 	依賴	c=201 d=0.0117959 t=255488
yi lai bao 	依賴包	c=1 d=2.58695e-35 t=255488
yi li 	伊利	c=1 d=5.65814e-07 t=255488
yi liang 	一兩	c=0 d=1.78243e-271 t=255488
yi liang jian 	一兩件	c=1 d=1.79136e-270 t=255488
yi liao 	醫療	c=2 d=2.77688e-46 t=255488
yi liao ben 	醫療本	c=1 d=2.7908e-45 t=255488
yi lie 	一列	c=3 d=5.93092e-149 t=255488
yi liu 	遺留	c=2 d=2.5647e-51 t=255488
yi lou 	一樓	c=1 d=2.9757e-35 t=255488
yi lu 	一路	c=1 d=4.33172e-217 t=255488
yi ma 	一碼	c=4 d=2.88639e-198 t=255488
yi ma 	姨媽	c=1 d=4.08108e-16 t=255488
yi mai 	一買	c=1 d=0 t=255488
yi man 	已滿	c=1 d=0.802519 t=255488
yi mao jian 	衣帽間	c=4 d=6.85944e-208 t=255488
yi mei 	醫美	c=9 d=2.05018e-05 t=255488
yi mi 	一米	c=3 d=4.14353e-212 t=255488
yi mi 	薏米	c=1 d=2.83355e-18 t=255488
yi mian 	一面	c=5 d=5.77997e-202 t=255488
yi miao 	疫苗	c=3 d=2.90658e-82 t=255488
yi nian 	一年	c=23 d=0.00143812 t=255488
yi pai 	一排	c=2 d=9.75654e-26 t=255488
yi pei zhi 	已配置	c=5 d=1.20608e-315 t=255488
yi pi 	一批	c=2 d=8.43036e-51 t=255488
yi pian 	一篇	c=1 d=4.41618e-62 t=255488
yi pin 	一拼	c=1 d=1.48025e-26 t=255488
yi ping 	一平	c=9 d=0.0426384 t=255488
yi ping 	一瓶	c=1 d=3.08064e-31 t=255488
yi pu xi long 	伊普西隆	c=1 d=2.01197e-19 t=255488
yi qi 	一期	c=11 d=1.35746e-40 t=255488
yi qi 	一起	c=48 d=0.481909 t=255488
yi qi tong 	億企通	c=21 d=1.68129e-83 t=255488
yi qian 	以前	c=38 d=0.0389323 t=255488
yi qian duo 	一千多	c=1 d=2.35669e-320 t=255488
yi qie 	一切	c=1 d=0 t=255488
yi qing 	疫情	c=18 d=0.10456 t=255488
yi qing di tu 	疫情地圖	c=1 d=0.00733572 t=255488
yi qing er chu 	一清二楚	c=1 d=2.5506e-45 t=255488
yi qiu zhi he 	一丘之貉	c=1 d=0 t=255488
yi qu 	一去	c=1 d=9.90387e-05 t=255488
yi quan 	一圈	c=7 d=5.22512e-129 t=255488
yi que ren 	已確認	c=1 d=6.47354e-32 t=255488
yi qun 	一羣	c=1 d=1.83421e-254 t=255488
yi qun 	逸羣	c=3 d=5.77409e-216 t=255488
yi ran 	依然	c=1 d=2.31275e-11 t=255488
yi ren 	一人	c=5 d=2.59095e-09 t=255488
yi ru wang 	已入網	c=1 d=5.1088e-217 t=255488
yi sao 	一掃	c=0 d=1.66354e-18 t=255488
yi se lie 	以色列	c=1 d=5.9168e-121 t=255488
yi shan 	一扇	c=2 d=1.59998e-186 t=255488
yi shang 	一上	c=0 d=1.67906e-39 t=255488
yi shang 	以上	c=1 d=6.56632e-258 t=255488
yi shang chuan 	已上傳	c=1 d=2.53456e-321 t=255488
yi shang wu 	一上午	c=1 d=1.68748e-38 t=255488
yi shang xian 	已上線	c=1 d=1.52799e-164 t=255488
yi she ji 	一設計	c=2 d=0 t=255488
yi shen pi 	已審批	c=1 d=7.3191e-182 t=255488
yi sheng 	醫生	c=38 d=0.00729913 t=255488
yi sheng cheng 	已生成	c=1 d=6.25088e-32 t=255488
yi shi 	一世	c=1 d=4.54563e-131 t=255488
yi shi 	一時	c=2 d=3.87877e-153 t=255488
yi shi qing 	一世情	c=3 d=1.37314e-129 t=255488
yi shou dao 	已收到	c=3 d=0.018968 t=255488
yi shou li 	已受理	c=1 d=2.13153e-51 t=255488
yi shu 	藝術	c=11 d=0.0668703 t=255488
yi shu sheng 	藝術生	c=1 d=0 t=255488
yi shuo 	一說	c=1 d=1.17408e-182 t=255488
yi si 	意思	c=196 d=0.134022 t=255488
yi tai 	一臺	c=2 d=5.62731e-48 t=255488
yi tang 	一趟	c=7 d=1.52404e-17 t=255488
yi tao 	一套	c=13 d=8.97722e-13 t=255488
yi teng bo wen 	伊藤博文	c=1 d=9.33075e-274 t=255488
yi tian 	一天	c=27 d=0.265803 t=255488
yi tian tian 	一天天	c=2 d=0 t=255488
yi tiao 	一條	c=51 d=0.0303487 t=255488
yi tiao 	一跳	c=1 d=2.18407e-14 t=255488
yi ting 	一廳	c=1 d=4.51081e-223 t=255488
yi ting 	一聽	c=1 d=4.80159e-17 t=255488
yi ting yong 	已停用	c=1 d=3.76338e-180 t=255488
yi tong 	一桶	c=1 d=0.000596161 t=255488
yi tong xing 	億通行	c=2 d=0 t=255488
yi tong zhi 	已通知	c=2 d=6.42496e-22 t=255488
yi tou 	已投	c=1 d=1.63082e-48 t=255488
yi tui kuan 	已退款	c=1 d=2.00228e-21 t=255488
yi tuo 	一拖	c=1 d=8.27381e-07 t=255488
yi tuo 	依託	c=1 d=3.57554e-19 t=255488
yi tuo zai tuo 	一拖再拖	c=1 d=0 t=255488
yi wai 	以外	c=1 d=2.95532e-13 t=255488
yi wai 	意外	c=4 d=2.94058e-13 t=255488
yi wai xian 	意外險	c=1 d=2.31267e-40 t=255488
yi wan 	一晚	c=1 d=1.07508e-175 t=255488
yi wan cheng 	已完成	c=6 d=7.04503e-41 t=255488
yi wan shang 	一晚上	c=1 d=1.36441e-126 t=255488
yi wan tang 	一碗湯	c=1 d=5.67767e-165 t=255488
yi wang 	以往	c=1 d=0 t=255488
yi wei 	一位	c=2 d=4.66111e-50 t=255488
yi wei 	以爲	c=14 d=0.000155324 t=255488
yi wei 	意味	c=1 d=1 t=252758
yi wei 	移位	c=1 d=0 t=255488
yi wei zhe 	意味着	c=7 d=0.17513 t=255488
yi wen 	一問	c=1 d=3.33895e-184 t=255488
yi wen 	疑問	c=4 d=1.68197e-29 t=255488
yi wen 	譯文	c=1 d=4.92131e-42 t=255488
yi wu 	義務	c=2 d=1.48345e-131 t=255488
yi wu suo you 	一無所有	c=1 d=2.27909e-15 t=255488
yi xia 	一下	c=8 d=0.000166586 t=255488
yi xia 	以下	c=14 d=2.3465e-05 t=255488
yi xia ba 	一下吧	c=1 d=0 t=255488
yi xia zi 	一下子	c=1 d=0 t=255488
yi xian 	一線	c=1 d=1.71718e-08 t=255488
yi xiang 	一向	c=1 d=2.63472e-15 t=255488
yi xiang 	一箱	c=1 d=2.20111e-311 t=255488
yi xiang 	意向	c=1 d=2.35538e-20 t=255488
yi xiao 	一小	c=0 d=0.1 t=252755
yi xiao ge 	一小格	c=1 d=1 t=252756
yi xie 	一些	c=17 d=0.00132016 t=255488
yi xin 	宜信	c=4 d=3.70416e-23 t=255488
yi xing qi 	一星期	c=2 d=1.51902e-36 t=255488
yi xue 	一學	c=1 d=6.29419e-25 t=255488
yi xue 	醫學	c=1 d=0.000112226 t=255488
yi yang 	一樣	c=192 d=0.477214 t=255488
yi yang de 	一樣的	c=1 d=4.27914e-191 t=255488
yi yang ma 	一樣嗎	c=1 d=0 t=255488
yi ye 	一頁	c=2 d=0 t=255488
yi yi 	一一	c=7 d=0 t=255488
yi yi 	意義	c=19 d=7.9084e-05 t=255488
yi you 	已有	c=14 d=1.38497e-08 t=255488
yi yuan 	意願	c=3 d=2.71709e-83 t=255488
yi yuan 	醫院	c=99 d=1.1889 t=255488
yi yue 	一月	c=2 d=2.41577e-200 t=255488
yi yue fen 	一月份	c=1 d=0 t=255488
yi zai 	已在	c=2 d=2.37963e-111 t=255488
yi zhan 	一站	c=3 d=8.48739e-26 t=255488
yi zhang 	一張	c=10 d=0.0330412 t=255488
yi zhen 	一陣	c=0 d=1.11168e-305 t=255488
yi zhen yi zhen 	一陣一陣	c=1 d=1.11725e-304 t=255488
yi zheng 	一整	c=1 d=1.74635e-206 t=255488
yi zheng chang 	已正常	c=1 d=0 t=255488
yi zheng tao 	一整套	c=1 d=3.8751e-230 t=255488
yi zhi 	一支	c=1 d=6.27581e-20 t=255488
yi zhi 	一直	c=63 d=0.427762 t=255488
yi zhi 	一致	c=15 d=0.0211005 t=255488
yi zhi 	已知	c=2 d=2.2952e-39 t=255488
yi zhi fu 	已支付	c=9 d=1.08867e-19 t=255488
yi zhi xing 	一致性	c=9 d=0.0206861 t=255488
yi zhong 	一種	c=12 d=0.0437681 t=255488
yi zhou 	一週	c=11 d=0.00767851 t=255488
yi zhuan jiao 	已轉交	c=1 d=0 t=255488
yi zhuang 	亦莊	c=1 d=0 t=255488
yi zi 	椅子	c=7 d=1.60081e-06 t=255488
yi zou 	一走	c=2 d=0 t=255488
yi zu 	一組	c=1 d=1 t=251806
yin 	因	c=3 d=2.21543e-64 t=255488
yin 	引	c=2 d=0 t=255488
yin 	銀	c=8 d=5.19707e-08 t=255488
yin 	陰	c=1 d=1 t=253033
yin 	音	c=1 d=1.47543e-17 t=255488
yin an 	陰暗	c=0 d=2.06959e-58 t=255488
yin an hai neng gou 	陰暗還能夠	c=1 d=2.07996e-57 t=255488
yin cang 	隱藏	c=14 d=7.28276e-06 t=255488
yin ci 	因此	c=22 d=0.0272291 t=255488
yin dao 	引導	c=6 d=1.07101e-13 t=255488
yin du ren 	印度人	c=1 d=0.0166557 t=255488
yin er 	銀耳	c=1 d=2.90529e-18 t=255488
yin fa 	引發	c=2 d=9.0885e-53 t=255488
yin guo 	因果	c=1 d=4.2691e-134 t=255488
yin hang 	銀行	c=295 d=11.6854 t=255488
yin hang bian hao 	銀行編號	c=1 d=8.31785e-40 t=255488
yin hang hao 	銀行號	c=2 d=3.50952e-35 t=255488
yin hang ka 	銀行卡	c=33 d=0.467533 t=255488
yin hang ka hao 	银行卡号	c=2 d=3.99606e-33 t=255488
yin hang zhang hu hao 	銀行賬戶號	c=1 d=2.79178e-196 t=255488
yin hao 	引號	c=9 d=0.00670434 t=255488
yin he 	銀河	c=39 d=0.000185029 t=255488
yin huan 	隱患	c=1 d=3.9379e-37 t=255488
yin jin 	引進	c=5 d=0.000457378 t=255488
yin leng 	陰冷	c=1 d=8.84903e-33 t=255488
yin lian 	銀聯	c=82 d=0.329569 t=255488
yin lian zhi ce 	銀聯智測	c=12 d=0.00200605 t=255488
yin liang 	音量	c=1 d=3.76558e-275 t=255488
yin liao 	飲料	c=6 d=0.666977 t=255488
yin man 	茵曼	c=2 d=6.10901e-56 t=255488
yin man 	隱瞞	c=1 d=0 t=255488
yin mi 	隱祕	c=1 d=4.05399e-114 t=255488
yin pin 	音頻	c=1 d=3.27395e-188 t=255488
yin qi 	引起	c=38 d=0.00977929 t=255488
yin qi zhi lian 	銀企直連	c=41 d=3.14185e-22 t=255488
yin qing 	引擎	c=30 d=0.00611935 t=255488
yin qing ceng 	引擎層	c=1 d=0.00271219 t=255488
yin ru 	引入	c=12 d=0.509156 t=255488
yin ru le 	引入了	c=1 d=0.0098528 t=255488
yin shang 	銀商	c=1 d=2.31063e-59 t=255488
yin sheng 	銀生	c=2 d=5.5565e-29 t=255488
yin sheng 	銀盛	c=46 d=1.57398e-13 t=255488
yin sheng bao 	銀生寶	c=2 d=4.79599e-40 t=255488
yin shi 	隱式	c=2 d=9.72882e-313 t=255488
yin si 	隱私	c=3 d=6.72398e-08 t=255488
yin wei 	因爲	c=91 d=0.0136366 t=255488
yin wen 	引文	c=2 d=3.4116e-55 t=255488
yin xiang 	印象	c=7 d=9.41414e-26 t=255488
yin xiang 	音箱	c=4 d=5.22194e-233 t=255488
yin xing 	隱形	c=4 d=1.29338e-190 t=255488
yin yin yue yue 	隱隱約約	c=1 d=0 t=255488
yin ying 	陰影	c=0 d=0 t=255488
yin ying le 	陰影了	c=1 d=0 t=255488
yin yong 	引用	c=26 d=0.000320701 t=255488
yin yue 	音樂	c=12 d=0.965605 t=255488
yin zhang 	印章	c=3 d=2.93958e-09 t=255488
yin zi 	因子	c=2 d=1.73032e-18 t=255488
ying 	影	c=5 d=0.249984 t=255488
ying 	應	c=23 d=0.786628 t=255488
ying 	盈	c=1 d=4.22415e-39 t=255488
ying 	硬	c=6 d=1.44444e-32 t=255488
ying 	英	c=3 d=9.37546e-07 t=255488
ying 	贏	c=2 d=2.30435e-27 t=255488
ying bu ying xiang 	影不影響	c=2 d=1.79409e-141 t=255488
ying chuan 	穎川	c=1 d=0.19398 t=255488
ying cun 	英寸	c=1 d=4.56586e-13 t=255488
ying fu 	應付	c=1 d=1.03665e-188 t=255488
ying gai 	應該	c=717 d=0.290841 t=255488
ying gai shi 	應該是	c=2 d=5.47005e-21 t=255488
ying guan 	英冠	c=2 d=0 t=255488
ying guang gao 	硬廣告	c=1 d=8.26966e-148 t=255488
ying guo 	英國	c=5 d=0.0165027 t=255488
ying guo ren 	英國人	c=1 d=0.0169075 t=255488
ying hua 	櫻花	c=1 d=1.79525e-178 t=255488
ying ji 	應急	c=1 d=1.26764e-231 t=255488
ying jian 	硬件	c=3 d=1.77006e-120 t=255488
ying ke 	盈科	c=2 d=4.07054e-15 t=255488
ying le 	贏了	c=1 d=3.533e-84 t=255488
ying pan 	硬盤	c=10 d=6.51063e-11 t=255488
ying pin 	應聘	c=1 d=2.69674e-24 t=255488
ying qi 	硬氣	c=1 d=4.3053e-292 t=255488
ying she 	映射	c=13 d=0.0875977 t=255488
ying shi 	影視	c=8 d=0.602419 t=255488
ying shi lang gu 	鷹視狼顧	c=1 d=0.193013 t=255488
ying shou 	應收	c=2 d=3.83885e-48 t=255488
ying tao 	櫻桃	c=1 d=0 t=255488
ying wei 	應爲	c=1 d=5.66567e-52 t=255488
ying wen 	英文	c=73 d=0.17552 t=255488
ying wo 	硬臥	c=6 d=3.80627e-11 t=255488
ying xiang 	影像	c=1 d=0.00307331 t=255488
ying xiang 	影響	c=67 d=0.000837734 t=255488
ying xiao 	營銷	c=6 d=5.93087e-07 t=255488
ying xiong 	英雄	c=2 d=0.501576 t=255488
ying yang 	營養	c=1 d=0 t=255488
ying ye 	營業	c=14 d=1.36858e-15 t=255488
ying ye shui 	營業稅	c=2 d=4.83194e-10 t=255488
ying ye ting 	營業廳	c=2 d=3.02282e-14 t=255488
ying ye zhi zhao 	營業執照	c=3 d=1.15801e-20 t=255488
ying ying 	盈盈	c=1 d=0 t=255488
ying yong 	應用	c=238 d=0.317279 t=255488
ying yong ni 	應用你	c=1 d=0 t=255488
ying yu 	英語	c=48 d=0.115325 t=255488
ying yu ke 	英語課	c=2 d=0 t=255488
ying zuo 	硬座	c=4 d=4.33713e-26 t=255488
yo 	喲	c=1 d=6.61106e-44 t=255488
yo ji nian guan 	喲紀念館	c=3 d=4.39224e-145 t=255488
yong 	勇	c=2 d=1.24769e-74 t=255488
yong 	永	c=2 d=1.67472e-37 t=255488
yong 	用	c=960 d=0.970635 t=255488
yong an 	永安	c=3 d=1.68753e-09 t=255488
yong an bao xian 	永安保險	c=1 d=1.67245e-21 t=255488
yong ba 	用吧	c=1 d=8.85836e-16 t=255488
yong bai se 	用白色	c=1 d=0 t=255488
yong bu 	永不	c=1 d=3.22463e-39 t=255488
yong bu dao 	用不到	c=2 d=2.46004e-149 t=255488
yong bu liao 	用不了	c=6 d=2.04719e-76 t=255488
yong bu shang 	用不上	c=1 d=1.77101e-312 t=255488
yong bu yong 	用不用	c=0 d=0 t=255488
yong che 	用車	c=1 d=0.0837432 t=255488
yong chu 	用處	c=1 d=2.40889e-284 t=255488
yong dao 	用到	c=46 d=1.12516e-05 t=255488
yong dao ni 	用到你	c=1 d=9.59919e-196 t=255488
yong de 	用的	c=3 d=5.62992e-07 t=255488
yong diao 	用掉	c=1 d=0 t=255488
yong fa 	用法	c=6 d=0.565525 t=255488
yong feng 	永豐	c=1 d=1.61267e-34 t=255488
yong ge 	詠歌	c=1 d=8.95479e-202 t=255488
yong gong 	用工	c=2 d=5.53331e-68 t=255488
yong guo 	用過	c=4 d=5.20858e-33 t=255488
yong he 	永和	c=1 d=3.53928e-29 t=255488
yong he da wang 	永和大王	c=1 d=3.18983e-29 t=255488
yong heng 	永恆	c=1 d=0 t=255488
yong hu 	擁護	c=1 d=1 t=254631
yong hu 	用戶	c=454 d=6.65718 t=255488
yong hu biao 	用戶表	c=1 d=0.165299 t=255488
yong hu ming 	用戶名	c=74 d=0.752503 t=255488
yong hu tai 	用戶態	c=2 d=1.76721 t=251712
yong hu yan zheng 	用戶驗證	c=1 d=2.57799e-53 t=255488
yong hu zu 	用戶組	c=1 d=0.239309 t=255488
yong hui 	永輝	c=3 d=5.70511e-16 t=255488
yong ji 	擁擠	c=1 d=8.05888e-109 t=255488
yong ji fen bao 	用積分寶	c=1 d=2.00467e-35 t=255488
yong jiu 	永久	c=4 d=4.21553e-158 t=255488
yong kan 	用看	c=1 d=3.49765e-289 t=255488
yong lai 	用來	c=37 d=0.00098785 t=255488
yong li 	用例	c=2 d=7.02009e-15 t=255488
yong na ge 	用那個	c=1 d=0 t=255488
yong ni 	用你	c=2 d=3.58041e-35 t=255488
yong pin 	用品	c=5 d=1.80639e-45 t=255488
yong qi 	勇氣	c=1 d=0 t=255488
yong qi lai 	用起來	c=1 d=0 t=255488
yong qing 	永清	c=1 d=1.80157e-34 t=255488
yong qing lu 	永清路	c=1 d=1.6535e-34 t=255488
yong quan 	用券	c=2 d=2.50622e-15 t=255488
yong shang 	用上	c=1 d=0 t=255488
yong shen me 	用什麼	c=1 d=0 t=255488
yong shen me zi ti 	用什麼字體	c=1 d=0 t=255488
yong shi 	勇士	c=1 d=5.31437e-93 t=255488
yong shou 	用手	c=2 d=3.3326e-191 t=255488
yong shui 	用水	c=1 d=2.74551e-29 t=255488
yong tu 	用途	c=10 d=3.89493e-13 t=255488
yong wan 	用完	c=1 d=1 t=252460
yong wo 	用我	c=1 d=1.31425e-09 t=255488
yong xia 	用下	c=10 d=7.4811e-15 t=255488
yong xin 	用心	c=1 d=3.65573e-74 t=255488
yong yi ge 	用一個	c=1 d=2.23436e-164 t=255488
yong yong 	用用	c=1 d=0 t=255488
yong you 	用友	c=20 d=3.48763e-42 t=255488
yong yu 	用於	c=62 d=0.0134499 t=255488
yong yuan 	永遠	c=5 d=5.55951e-06 t=255488
yong zai 	用在	c=1 d=1 t=253056
yong zhe 	擁着	c=1 d=9.33998e-315 t=255488
yong zhe 	用着	c=5 d=6.94056e-28 t=255488
yong zhe ge 	用這個	c=3 d=3.22353e-35 t=255488
yong zhe za yang 	用着咋樣	c=1 d=0 t=255488
yong zhe zhong 	用這種	c=1 d=1.19402e-233 t=255488
yong zhong 	永中	c=3 d=0.0252568 t=255488
yong zuo 	用作	c=1 d=2.32438e-305 t=255488
you 	佑	c=3 d=0.000500451 t=255488
you 	優	c=0 d=1.25685e-14 t=255488
you 	又	c=146 d=0.356011 t=255488
you 	友	c=1 d=1.21213e-28 t=255488
you 	右	c=7 d=6.72033e-31 t=255488
you 	幼	c=2 d=2.93211e-126 t=255488
you 	有	c=2096 d=2.77954 t=255488
you 	油	c=5 d=0.00116079 t=255488
you 	由	c=10 d=5.77324e-38 t=255488
you 	遊	c=1 d=1.5611e-269 t=255488
you a 	有啊	c=5 d=6.845e-247 t=255488
you ba 	有吧	c=1 d=0.00848038 t=255488
you ban ji 	有班級	c=1 d=2.72384e-24 t=255488
you bao cuo 	有報錯	c=2 d=5.16873e-119 t=255488
you bei wu huan 	有備無患	c=1 d=1.88497e-46 t=255488
you ben shi 	有本事	c=1 d=2.40823e-222 t=255488
you bi 	有比	c=1 d=1.2375e-07 t=255488
you bian 	右邊	c=18 d=7.22135e-24 t=255488
you bian 	有變	c=1 d=6.25839e-193 t=255488
you bian 	郵編	c=12 d=0.0259911 t=255488
you bing 	有病	c=1 d=2.49746e-62 t=255488
you bu chang 	有補償	c=1 d=1.48425e-234 t=255488
you bu shi 	又不是	c=1 d=0 t=255488
you can shu 	有參數	c=1 d=5.99932e-225 t=255488
you ce 	右側	c=2 d=7.04785e-32 t=255488
you ce ma 	右側嗎	c=1 d=1.10671e-321 t=255488
you chang 	有償	c=1 d=5.17363e-42 t=255488
you che 	有車	c=3 d=2.49067e-30 t=255488
you chu fang 	有廚房	c=1 d=3.16283e-76 t=255488
you ci 	有刺	c=1 d=0.00527382 t=255488
you ci 	由此	c=1 d=1 t=251823
you cuo 	有錯	c=1 d=7.74378e-316 t=255488
you cuo wu 	有錯誤	c=1 d=0 t=255488
you da 	有大	c=1 d=3.73137e-109 t=255488
you dai lei 	有袋類	c=1 d=0.000129737 t=255488
you dan ju 	有單據	c=1 d=4.40717e-38 t=255488
you dan zi 	有單子	c=1 d=0 t=255488
you dao 	又到	c=1 d=7.74628e-26 t=255488
you dao 	有道	c=11 d=0.559898 t=255488
you dao 	郵到	c=1 d=4.66206e-23 t=255488
you dao li 	有道理	c=2 d=1.40486e-58 t=255488
you de 	有的	c=13 d=0.135335 t=255488
you di 	有低	c=1 d=2.61562e-47 t=255488
you di 	郵遞	c=5 d=1.82684e-45 t=255488
you di tie 	有地鐵	c=1 d=3.01656e-19 t=255488
you di tu dou 	郵遞土豆	c=1 d=5.92879e-323 t=255488
you dian 	優點	c=4 d=0.000186888 t=255488
you dian 	有點	c=114 d=0.239323 t=255488
you dian chang 	有點長	c=1 d=0 t=255488
you dian gui 	有點貴	c=1 d=2.44135e-30 t=255488
you dian ji 	有點擠	c=1 d=2.12265e-237 t=255488
you dian liang 	有點涼	c=1 d=0 t=255488
you dian luan 	有點亂	c=2 d=7.49314e-135 t=255488
you dian xiang 	有點像	c=1 d=1.62357e-25 t=255488
you dian xiang shi 	有點像是	c=1 d=1.58101e-322 t=255488
you dian xuan 	有點懸	c=2 d=1.3138e-05 t=255488
you dian yan 	有點嚴	c=1 d=3.25693e-68 t=255488
you dian ying 	有點硬	c=1 d=1.02005e-292 t=255488
you ding shi 	有定時	c=1 d=2.43422e-25 t=255488
you dou fu 	有豆腐	c=1 d=1.57612e-29 t=255488
you du 	有毒	c=3 d=3.59548e-290 t=255488
you er 	幼兒	c=1 d=9.88131e-324 t=255488
you er yuan 	幼兒園	c=58 d=0.357007 t=255488
you fa 	又發	c=1 d=9.43637e-230 t=255488
you fan 	右翻	c=1 d=0 t=255488
you fan hui 	有返回	c=1 d=8.86137e-20 t=255488
you fan ying 	有反應	c=1 d=1.11522e-77 t=255488
you fang 	有房	c=3 d=3.4615e-20 t=255488
you fei 	郵費	c=2 d=0.0259911 t=255488
you feng xian 	有風險	c=1 d=2.09402e-48 t=255488
you gan 	又幹	c=0 d=3.45086e-308 t=255488
you gan shang 	又幹上	c=1 d=3.46816e-307 t=255488
you gao 	有高	c=1 d=2.60257e-47 t=255488
you ge 	有個	c=220 d=0.225033 t=255488
you ge dong 	有個洞	c=1 d=1.03289e-204 t=255488
you gei 	又給	c=1 d=1.68245e-238 t=255488
you gen 	有根	c=1 d=1.78533e-201 t=255488
you gong zuo 	有工作	c=1 d=0 t=255488
you guai 	右拐	c=1 d=4.22693e-223 t=255488
you guan 	有關	c=15 d=0.00990218 t=255488
you guan xi 	有關係	c=2 d=2.24587e-195 t=255488
you gui ze 	有規則	c=1 d=4.82934e-261 t=255488
you guo 	有過	c=1 d=3.83533e-50 t=255488
you hao 	友好	c=4 d=0.00740944 t=255488
you hao ji ge 	有好幾個	c=1 d=1.28621e-20 t=255488
you he 	有何	c=1 d=6.65466e-180 t=255488
you hong 	有紅	c=1 d=1.60272e-20 t=255488
you hou 	油猴	c=8 d=0.211605 t=255488
you hua 	優化	c=309 d=0.432092 t=255488
you hua xia 	優化下	c=2 d=2.97854e-105 t=255488
you huan cun 	有緩存	c=2 d=5.32467e-57 t=255488
you hui 	優惠	c=24 d=0.0833256 t=255488
you hui 	有會	c=1 d=3.24135e-41 t=255488
you hui 	有灰	c=1 d=2.39622e-321 t=255488
you hui ka 	優惠卡	c=1 d=2.32315e-05 t=255488
you hui ma 	優惠碼	c=1 d=6.19632e-164 t=255488
you hui quan 	優惠券	c=4 d=0.364219 t=255488
you huo 	有活	c=1 d=0 t=255488
you huo 	有貨	c=1 d=6.4914e-35 t=255488
you ji 	郵寄	c=22 d=0.0315799 t=255488
you ji ge 	有幾個	c=1 d=0.00137404 t=255488
you ji tian nian jia 	有幾天年假	c=1 d=0 t=255488
you jia 	有家	c=1 d=4.08955e-11 t=255488
you jia can 	有加餐	c=1 d=1.47344e-295 t=255488
you jian 	右鍵	c=5 d=0.000106752 t=255488
you jian 	郵件	c=72 d=0.26054 t=255488
you jie 	有界	c=1 d=0.995012 t=255488
you jie guo 	有結果	c=5 d=5.15939e-39 t=255488
you jie le mei 	又結了沒	c=1 d=0 t=255488
you jie tu 	有截圖	c=1 d=6.19065e-212 t=255488
you jin du 	有進度	c=2 d=1.07531e-118 t=255488
you ju 	郵局	c=1 d=2.55729e-17 t=255488
you juan 	有卷	c=1 d=0.187308 t=255488
you kan hao 	有看好	c=1 d=1.45714e-223 t=255488
you ke neng 	有可能	c=21 d=0.246597 t=255488
you kong 	有空	c=1 d=0 t=255488
you ku 	優酷	c=3 d=0.0383884 t=255488
you kuai di 	有快遞	c=1 d=4.45956e-265 t=255488
you lai 	又來	c=2 d=6.14387e-211 t=255488
you lai ge 	有來個	c=1 d=0.000120966 t=255488
you lan 	遊覽	c=1 d=0 t=255488
you lao shi 	有老師	c=1 d=7.58385e-12 t=255488
you le 	有了	c=4 d=4.79245e-24 t=255488
you liang 	優良	c=0 d=2.02937e-33 t=255488
you liang sheng huo 	優良生活	c=1 d=2.03954e-32 t=255488
you ling 	幽靈	c=1 d=1.08859e-263 t=255488
you mao 	有毛	c=1 d=1.1057e-35 t=255488
you me 	有麼	c=1 d=1.32701e-05 t=255488
you mei 	優美	c=1 d=2.20288e-56 t=255488
you mei you 	有沒有	c=41 d=0.0116786 t=255488
you men 	油門	c=0 d=2.33457e-93 t=255488
you men luo xuan jun 	油門螺旋菌	c=1 d=2.34627e-92 t=255488
you neng 	又能	c=1 d=0 t=255488
you ni 	油膩	c=1 d=3.84145e-10 t=255488
you nin men 	有您們	c=1 d=3.38642e-203 t=255488
you pan 	優盤	c=1 d=1.31967e-28 t=255488
you pao dao 	又跑到	c=1 d=0 t=255488
you piao 	有票	c=4 d=3.09199e-30 t=255488
you pin 	優品	c=1 d=1.61094e-227 t=255488
you po mian 	油潑麪	c=4 d=0.0181919 t=255488
you qi 	尤其	c=3 d=0.267135 t=255488
you qi 	油漆	c=6 d=5.09062e-49 t=255488
you qi shi 	尤其是	c=1 d=0 t=255488
you qian 	有錢	c=16 d=0.0321338 t=255488
you qian ren 	有錢人	c=1 d=3.33598e-56 t=255488
you qing 	有青	c=1 d=3.85118e-216 t=255488
you rang 	又讓	c=1 d=2.57645e-281 t=255488
you ren 	有人	c=24 d=0.124307 t=255488
you ren shuo 	有人說	c=1 d=5.35027e-84 t=255488
you ren zai 	有人在	c=1 d=2.44169e-61 t=255488
you rou 	有肉	c=1 d=0 t=255488
you ru jiao 	有乳膠	c=1 d=0 t=255488
you sha 	有啥	c=15 d=8.70501e-07 t=255488
you sha shi 	有啥事	c=2 d=3.67605e-51 t=255488
you sha yong 	有啥用	c=1 d=6.66501e-22 t=255488
you shang 	友商	c=1 d=1.1056e-269 t=255488
you shang 	右上	c=1 d=1.32493e-16 t=255488
